,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
152,264.0,3,0,1.6,1,0,0,0,1,0,0,0
153,242.7,3,0,4.1,1,0,0,0,1,0,0,0
154,261.2,2,0,1.8,1,0,0,0,1,0,0,0
155,177.2,4,0,4.8,0,0,1,0,0,0,0,0
156,238.4,2,0,3.9,1,0,0,0,1,0,0,0
157,254.8,0,0,0.0014,0,0,0,0,1,0,0,0
158,237.2,2,0,1.5,1,0,0,1,0,0,0,0
159,239.9,2,0,1.7,1,0,1,0,0,0,0,0
160,234.8,4,0,5.4,1,0,0,0,1,0,0,0
161,196.0,5,0,2.4,0,0,0,0,1,0,0,0
162,246.0,3,0,2.0,1,0,0,0,1,0,0,0
163,168.5,5,0,5.7,0,0,1,0,0,0,0,0
164,207.0,4,0,2.5,0,0,0,0,1,0,0,0
165,299.2,1,0,0.7,1,0,0,0,1,0,0,0
166,230.1,5,0,2.1,1,0,0,0,1,0,0,0
167,228.9,4,0,4.9,1,0,0,0,1,0,0,0
168,233.8,2,0,1.0,0,0,0,0,1,0,0,0
169,216.1,3,0,2.0,0,0,1,0,0,0,0,0
170,293.9,2,0,1.4,1,1,0,0,1,0,0,0
171,253.0,4,0,1.3,1,0,0,0,1,0,0,0
172,189.5,2,0,2.1,0,0,0,0,0,1,0,0
173,203.9,4,0,7.8,1,0,0,0,1,0,0,0
174,197.9,2,0,0.5,0,0,0,0,0,1,0,0
175,314.9,1,0,0.0831,1,0,0,0,1,0,0,0
176,249.2,3,0,2.8,1,0,0,0,1,0,0,0
177,249.9,4,0,2.9,1,0,0,0,1,0,0,0
178,228.5,3,0,2.4,1,0,0,0,1,0,0,0
179,294.9,0,0,1.0,1,0,0,0,1,0,0,0
180,222.0,5,0,1.4,1,0,0,0,1,0,0,0
181,168.0,5,1,0.5,0,0,1,0,0,0,0,0
182,258.3,2,0,3.6,1,0,0,0,1,0,0,0
183,232.6,1,0,3.3,0,0,0,0,1,0,0,0
184,248.9,1,0,2.4,1,0,0,1,0,0,0,0
185,214.1,4,0,5.1,1,1,1,0,0,0,0,0
186,249.8,2,0,3.9,1,0,0,0,1,0,0,0
187,221.0,5,0,6.0,1,0,0,0,1,0,0,0
188,299.9,1,0,1.7,1,0,0,0,1,0,0,0
189,209.9,3,0,7.1,1,0,0,0,1,0,0,0
190,228.0,4,0,4.5,1,0,0,0,1,0,0,0
191,259.8,3,0,1.3,1,0,0,0,1,0,0,0
192,229.8,5,0,4.1,0,0,0,0,1,0,0,0
193,218.6,4,0,2.3,1,0,1,0,0,0,0,0
